team_id,fran_id,modern_team,city,state
ATL,Hawks,Atlanta Hawks,Atlanta,Georgia
BOS,Celtics,Boston Celtics,Boston,Massachusetts
BRK,Nets,Brooklyn Nets,Brooklyn,New York
CHI,Bulls,Chicago Bulls,Chicago,Illinois
CLE,Cavaliers,Cleveland Cavaliers,Cleveland,Ohio
DAL,Mavericks,Dallas Mavericks,Dallas,Texas
DEN,Nuggets,Denver Nuggets,Denver,Colorado
DET,Pistons,Detroit Pistons,Detroit,Michigan
GSW,Warriors,Golden State Warriors,San Francisco,California
HOU,Rockets,Houston Rockets,Houston,Texas
IND,Pacers,Indiana Pacers,Indianapolis,Indiana
LAC,Clippers,Los Angeles Clippers,Los Angeles,California
LAL,Lakers,Los Angeles Lakers,Los Angeles,California
MEM,Grizzlies,Memphis Grizzlies,Memphis,Tennessee
MIA,Heat,Miami Heat,Miami,Florida
MIL,Bucks,Milwaukee Bucks,Milwaukee,Wisconsin
MIN,Timberwolves,Minnesota Timberwolves,Minneapolis,Minnesota
NOP,Pelicans,New Orleans Pelicans,New Orleans,Louisiana
NYK,Knicks,New York Knicks,New York,New York
OKC,Thunder,Oklahoma City Thunder,Oklahoma City,Oklahoma
ORL,Magic,Orlando Magic,Orlando,Florida
PHI,76ers,Philadelphia 76ers,Philadelphia,Pennsylvania
PHO,Suns,Phoenix Suns,Phoenix,Arizona
POR,Trail Blazers,Portland Trail Blazers,Portland,Oregon
SAC,Kings,Sacramento Kings,Sacramento,California
SAS,Spurs,San Antonio Spurs,San Antonio,Texas
TOR,Raptors,Toronto Raptors,Toronto,Ontario
UTA,Jazz,Utah Jazz,Salt Lake City,Utah
WAS,Wizards,Washington Wizards,Washington,District of Columbia
